turn_type,road_type,environment_type,visibility,effective_pedestrians,effective_traffic,daynight,weather,SafeSpeedLimit
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,49.8778418776504
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,49.8778418776504
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,49.8778418776504
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Narrow,Highway,High,Low,High,Day,Clear,126.16131674558652
Straight,Narrow,Highway,High,Low,High,Day,Clear,126.16131674558652
Straight,Narrow,Highway,High,Low,High,Day,Clear,126.16131674558652
Straight,Narrow,Highway,High,Low,High,Day,Clear,126.16131674558652
Straight,Narrow,Highway,High,Low,High,Day,Clear,126.16131674558652
Straight,Narrow,Highway,High,Low,High,Day,Clear,126.16131674558652
Straight,Narrow,Highway,High,Low,High,Day,Clear,126.16131674558652
Straight,Narrow,Highway,High,Low,High,Day,Clear,126.16131674558652
Straight,Narrow,Highway,High,Low,High,Day,Clear,126.16131674558652
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Narrow,City,High,Low,High,Day,Clear,85.9838866450216
Straight,Narrow,City,High,Low,High,Day,Clear,85.9838866450216
Straight,Narrow,City,High,Low,High,Day,Clear,85.9838866450216
Straight,Narrow,City,High,Low,High,Day,Clear,85.9838866450216
Straight,Narrow,City,High,Low,High,Day,Clear,85.9838866450216
Straight,Narrow,City,High,Low,Moderate,Day,Clear,42.18469832810862
Straight,Narrow,City,High,Low,Moderate,Day,Clear,42.18469832810862
Straight,Narrow,City,High,Low,High,Day,Clear,85.9838866450216
Straight,Narrow,City,High,Low,Moderate,Day,Clear,42.18469832810862
Straight,Narrow,City,High,Low,Moderate,Day,Clear,42.18469832810862
Straight,Narrow,City,High,Low,High,Day,Clear,85.9838866450216
Straight,Narrow,City,High,Low,High,Day,Clear,85.9838866450216
Straight,Narrow,City,High,Low,High,Day,Clear,85.9838866450216
Straight,Narrow,City,High,Low,High,Day,Clear,85.9838866450216
Straight,Narrow,City,High,Low,Moderate,Day,Clear,42.18469832810862
Straight,Narrow,City,High,Low,Moderate,Day,Clear,42.18469832810862
Straight,Narrow,City,High,Low,Moderate,Day,Clear,42.18469832810862
Straight,Narrow,City,High,Low,Moderate,Day,Clear,42.18469832810862
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Narrow,City,High,Low,High,Day,Clear,85.9838866450216
Straight,Narrow,City,High,Low,High,Day,Clear,85.9838866450216
Straight,Narrow,City,High,Low,High,Day,Clear,85.9838866450216
Straight,Narrow,City,High,Low,High,Day,Clear,85.9838866450216
Straight,Narrow,City,High,Low,Moderate,Day,Clear,42.18469832810862
Straight,Narrow,City,High,Low,High,Day,Clear,85.9838866450216
Straight,Narrow,City,High,Low,Moderate,Day,Clear,42.18469832810862
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,49.8778418776504
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,49.8778418776504
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,49.8778418776504
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,49.8778418776504
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,49.8778418776504
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,49.8778418776504
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,49.8778418776504
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,49.8778418776504
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,49.8778418776504
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
Straight,Narrow,Highway,High,Low,High,Day,Clear,126.16131674558652
Straight,Narrow,Highway,High,Low,High,Day,Clear,126.16131674558652
Straight,Narrow,Highway,High,Low,High,Day,Clear,126.16131674558652
Straight,Narrow,Highway,High,Low,High,Day,Clear,126.16131674558652
Straight,Narrow,Highway,High,Low,High,Day,Clear,126.16131674558652
Straight,Narrow,Highway,High,Low,High,Day,Clear,126.16131674558652
Straight,Narrow,Highway,High,Low,High,Day,Clear,126.16131674558652
Straight,Narrow,Highway,High,Low,High,Day,Clear,126.16131674558652
Straight,Narrow,Highway,High,Low,High,Day,Clear,126.16131674558652
Straight,Narrow,Highway,High,Low,High,Day,Clear,126.16131674558652
Intersection,Narrow,Highway,High,Low,Moderate,Day,Clear,81.56532398989897
Intersection,Narrow,Highway,High,Low,High,Day,Clear,123.38303511904758
Intersection,Medium,Highway,High,Low,High,Day,Clear,77.36141565891448
Intersection,Medium,Highway,High,Low,High,Day,Clear,77.36141565891448
Intersection,Medium,Highway,High,Low,High,Day,Clear,77.36141565891448
Intersection,Medium,Highway,High,Low,High,Day,Clear,77.36141565891448
Intersection,Medium,Highway,High,Low,High,Day,Clear,77.36141565891448
Intersection,Medium,Highway,High,Low,High,Day,Clear,77.36141565891448
Intersection,Medium,Residential,High,Low,High,Day,Clear,69.59860735421891
Intersection,Medium,Residential,High,Low,High,Day,Clear,69.59860735421891
Intersection,Medium,Residential,High,Low,High,Day,Clear,69.59860735421891
Intersection,Medium,Residential,High,Low,High,Day,Clear,69.59860735421891
Intersection,Medium,Residential,High,Low,High,Day,Clear,69.59860735421891
Intersection,Medium,Residential,High,Low,High,Day,Clear,69.59860735421891
Intersection,Medium,Residential,High,Low,High,Day,Clear,69.59860735421891
Intersection,Medium,Residential,High,Low,High,Day,Clear,69.59860735421891
Intersection,Medium,Residential,High,Low,High,Day,Clear,69.59860735421891
Intersection,Medium,Residential,High,Low,High,Day,Clear,69.59860735421891
Straight,Medium,Residential,High,Low,High,Day,Clear,71.45670695915197
Straight,Medium,Residential,High,Low,High,Day,Clear,71.45670695915197
Straight,Medium,Residential,High,Low,High,Day,Clear,71.45670695915197
Straight,Medium,Residential,High,Low,High,Day,Clear,71.45670695915197
Straight,Medium,Residential,High,Low,High,Day,Clear,71.45670695915197
Straight,Medium,Residential,High,Low,High,Day,Clear,71.45670695915197
Straight,Narrow,Residential,High,Low,High,Day,Clear,76.1567058730157
Straight,Narrow,Residential,High,Low,High,Day,Clear,76.1567058730157
Straight,Narrow,Residential,High,Low,High,Day,Clear,76.1567058730157
Straight,Narrow,Residential,High,Low,High,Day,Clear,76.1567058730157
Straight,Narrow,Residential,High,Low,High,Day,Clear,76.1567058730157
Straight,Narrow,Residential,High,Low,High,Day,Clear,76.1567058730157
Straight,Narrow,Residential,High,Low,High,Day,Clear,76.1567058730157
Straight,Narrow,Residential,High,Low,High,Day,Clear,76.1567058730157
Straight,Narrow,Residential,High,Low,High,Day,Clear,76.1567058730157
Straight,Narrow,Residential,High,Low,High,Day,Clear,76.1567058730157
Straight,Narrow,Residential,High,Low,High,Day,Clear,76.1567058730157
Straight,Narrow,Residential,High,Low,High,Day,Clear,76.1567058730157
Straight,Narrow,Residential,High,Low,High,Day,Clear,76.1567058730157
Straight,Narrow,City,High,Low,High,Day,Clear,85.9838866450216
Straight,Narrow,City,High,Low,High,Day,Clear,85.9838866450216
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Narrow,City,High,Low,High,Day,Clear,85.9838866450216
Straight,Narrow,City,High,Low,High,Day,Clear,85.9838866450216
Straight,Narrow,City,High,Low,High,Day,Clear,85.9838866450216
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Narrow,City,High,Low,High,Day,Clear,85.9838866450216
Straight,Narrow,City,High,Low,High,Day,Clear,85.9838866450216
Straight,Narrow,City,High,Low,High,Day,Clear,85.9838866450216
Straight,Narrow,City,High,Low,High,Day,Clear,85.9838866450216
Straight,Narrow,City,High,Low,High,Day,Clear,85.9838866450216
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Narrow,City,High,Low,High,Day,Clear,85.9838866450216
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,High,Day,Clear,71.10671049731685
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Straight,Medium,City,High,Low,Moderate,Day,Clear,46.86944289372842
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,49.8778418776504
Straight,Medium,Highway,High,Low,High,Day,Clear,73.23941125523784
